competition,season,round,date,kickoff_time,home_team,away_team,home_score,away_score,ht_home_score,ht_away_score,winner,home_goals_minutes,away_goals_minutes,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_xg,away_xg,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_possession,away_possession,source_name,source_url,secondary_source_url,collected_at,confidence
Brasileirão Série A,2025,1,2025-03-29,18:30,Cruzeiro,Mirassol,2,1,,,HOME,,,8,16,,,,,2,6,4,3,,,44,56,Match Capital public dataset (match stats) + CBF structural validation,https://github.com/aimidas2/match-capital-1/blob/main/data/season_2025/ligas/Brasileirao_Betano_Serie_A_2025.csv,https://www.cbf.com.br/futebol-brasileiro/tabelas/campeonato-brasileiro/serie-a/2025/1779?documento=Regulamento,2026-09-09T16:47:00-03:00,MEDIUM
Brasileirão Série A,2025,1,2025-03-29,18:30,Fortaleza,Fluminense,2,0,,,HOME,,,5,15,,,,,4,5,1,0,,,30,70,Match Capital public dataset (match stats) + CBF structural validation,https://github.com/aimidas2/match-capital-1/blob/main/data/season_2025/ligas/Brasileirao_Betano_Serie_A_2025.csv,https://www.cbf.com.br/futebol-brasileiro/tabelas/campeonato-brasileiro/serie-a/2025/1779?documento=Regulamento,2026-09-09T16:47:00-03:00,MEDIUM
Brasileirão Série A,2025,1,2025-03-29,18:30,Grêmio,Atlético-MG,2,1,,,HOME,,,12,22,,,,,1,11,4,0,,,33,67,Match Capital public dataset (match stats) + CBF structural validation,https://github.com/aimidas2/match-capital-1/blob/main/data/season_2025/ligas/Brasileirao_Betano_Serie_A_2025.csv,https://www.cbf.com.br/futebol-brasileiro/tabelas/campeonato-brasileiro/serie-a/2025/1779?documento=Regulamento,2026-09-09T16:47:00-03:00,MEDIUM
Brasileirão Série A,2025,1,2025-03-29,18:30,Juventude,Vitória,2,0,,,HOME,,,9,14,,,,,3,5,3,4,,,36,64,Match Capital public dataset (match stats) + CBF structural validation,https://github.com/aimidas2/match-capital-1/blob/main/data/season_2025/ligas/Brasileirao_Betano_Serie_A_2025.csv,https://www.cbf.com.br/futebol-brasileiro/tabelas/campeonato-brasileiro/serie-a/2025/1779?documento=Regulamento,2026-09-09T16:47:00-03:00,MEDIUM
Brasileirão Série A,2025,1,2025-03-29,18:30,São Paulo,Sport,0,0,,,DRAW,,,16,8,,,,,6,2,0,2,,,64,36,Match Capital public dataset (match stats) + CBF structural validation,https://github.com/aimidas2/match-capital-1/blob/main/data/season_2025/ligas/Brasileirao_Betano_Serie_A_2025.csv,https://www.cbf.com.br/futebol-brasileiro/tabelas/campeonato-brasileiro/serie-a/2025/1779?documento=Regulamento,2026-09-09T16:47:00-03:00,MEDIUM
Brasileirão Série A,2025,1,2025-03-29,21:00,Flamengo,Internacional,1,1,,,DRAW,,,19,5,,,,,4,2,2,4,,,62,38,Match Capital public dataset (match stats) + CBF structural validation,https://github.com/aimidas2/match-capital-1/blob/main/data/season_2025/ligas/Brasileirao_Betano_Serie_A_2025.csv,https://www.cbf.com.br/futebol-brasileiro/tabelas/campeonato-brasileiro/serie-a/2025/1779?documento=Regulamento,2026-09-09T16:47:00-03:00,MEDIUM
Brasileirão Série A,2025,1,2025-03-30,17:00,Palmeiras,Botafogo,0,0,,,DRAW,,,13,13,,,,,2,2,3,3,,,58,42,Match Capital public dataset (match stats) + CBF structural validation,https://github.com/aimidas2/match-capital-1/blob/main/data/season_2025/ligas/Brasileirao_Betano_Serie_A_2025.csv,https://www.cbf.com.br/futebol-brasileiro/tabelas/campeonato-brasileiro/serie-a/2025/1779?documento=Regulamento,2026-09-09T16:47:00-03:00,MEDIUM
Brasileirão Série A,2025,1,2025-03-30,19:30,Vasco da Gama,Santos,2,1,,,HOME,,,12,11,,,,,2,3,1,1,,,53,47,Match Capital public dataset (match stats) + CBF structural validation,https://github.com/aimidas2/match-capital-1/blob/main/data/season_2025/ligas/Brasileirao_Betano_Serie_A_2025.csv,https://www.cbf.com.br/futebol-brasileiro/tabelas/campeonato-brasileiro/serie-a/2025/1779?documento=Regulamento,2026-09-09T16:47:00-03:00,MEDIUM
Brasileirão Série A,2025,1,2025-03-30,21:00,Bahia,Corinthians,1,1,,,DRAW,,,14,9,,,,,3,5,4,2,,,42,58,Match Capital public dataset (match stats) + CBF structural validation,https://github.com/aimidas2/match-capital-1/blob/main/data/season_2025/ligas/Brasileirao_Betano_Serie_A_2025.csv,https://www.cbf.com.br/futebol-brasileiro/tabelas/campeonato-brasileiro/serie-a/2025/1779?documento=Regulamento,2026-09-09T16:47:00-03:00,MEDIUM
Brasileirão Série A,2025,1,2025-03-31,21:00,Red Bull Bragantino,Ceará,2,2,,,DRAW,,,18,13,,,,,9,2,1,3,,,63,37,Match Capital public dataset (match stats) + CBF structural validation,https://github.com/aimidas2/match-capital-1/blob/main/data/season_2025/ligas/Brasileirao_Betano_Serie_A_2025.csv,https://www.cbf.com.br/futebol-brasileiro/tabelas/campeonato-brasileiro/serie-a/2025/1779?documento=Regulamento,2026-09-09T16:47:00-03:00,MEDIUM
Brasileirão Série A,2025,2,2025-04-05,19:30,Ceará,Grêmio,2,0,,,HOME,,,12,12,,,,,3,10,1,3,,,38,62,Match Capital public dataset (match stats) + CBF structural validation,https://github.com/aimidas2/match-capital-1/blob/main/data/season_2025/ligas/Brasileirao_Betano_Serie_A_2025.csv,https://www.cbf.com.br/futebol-brasileiro/tabelas/campeonato-brasileiro/serie-a/2025/1779?documento=Regulamento,2026-09-09T16:47:00-03:00,MEDIUM
