competition,season,round,date,kickoff_time,home_team,away_team,home_score,away_score,ht_home_score,ht_away_score,winner,home_goals_minutes,away_goals_minutes,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_xg,away_xg,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_possession,away_possession,source_name,source_url,secondary_source_url,collected_at,confidence
Brasileirão Série B,2026,1,2026-03-21,16:00,Ceará,São Bernardo,1,1,1,0,DRAW,7(PEN),55,21,4,,,,,7,3,2,0,0,0,53,47,BeSoccer (FULL_TIME) + Wikipedia (rodada/calendário),https://es.besoccer.com/partido/ceara/sao-bernardo-fc/2026271332,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,1,2026-03-21,17:00,Vila Nova,CRB,2,2,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,1,2026-03-21,18:15,Operário-PR,Atlético-GO,1,0,,,Operário-PR,,,17,9,,,,,7,7,2,2,,,41,59,BeSoccer (FULL_TIME) + Wikipedia (rodada/calendário),https://es.besoccer.com/partido/operario-pr/atletico-go/2026271337,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,1,2026-03-21,19:15,Botafogo-SP,Fortaleza,4,0,,,Botafogo-SP,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,1,2026-03-21,20:30,Cuiabá,Sport,0,0,,,DRAW,,,13,10,,,,,0,1,1,2,0,0,41,59,BeSoccer (FULL_TIME) + Wikipedia (rodada/calendário),https://es.besoccer.com/partido/cuiaba/sport-recife/2026271333,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,1,2026-03-22,16:00,Avaí,Juventude,2,0,,,Avaí,,,16,8,,,,,3,3,3,0,0,0,41,59,BeSoccer (FULL_TIME) + Wikipedia (rodada/calendário),https://es.besoccer.com/partido/avai/juventude-caxias-do-sul/2026271330,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,1,2026-03-22,,Náutico,Criciúma,0,1,,,Criciúma,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,1,2026-03-22,18:00,Athletic Club,Ponte Preta,2,1,,,Athletic Club,,,17,10,,,,,3,3,3,3,,,43,57,BeSoccer (FULL_TIME) + Wikipedia (rodada/calendário),https://es.besoccer.com/partido/athletic-club-minas-gerais/ponte-preta/2026271329,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,1,2026-03-22,,Goiás,América-MG,3,1,,,Goiás,,,9,24,,,,,3,8,1,1,,,33,67,BeSoccer (FULL_TIME) + Wikipedia (rodada/calendário),https://es.besoccer.com/partido/goias-goiania/america-mineiro/2026271334,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,1,2026-03-22,20:00,Novorizontino,Londrina,1,3,,,Londrina,,,24,11,,,,,9,7,0,3,0,0,56,44,BeSoccer (FULL_TIME) + Wikipedia (rodada/calendário),https://es.besoccer.com/partido/novorizontino/londrina/2026271335,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,2,2026-03-31,18:30,Juventude,Novorizontino,0,0,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,2,2026-03-31,19:00,Fortaleza,Cuiabá,0,0,0,0,DRAW,,,15,4,2,0,0.54,0.06,,,,,,,59,41,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,2,2026-04-01,18:00,América-MG,Botafogo-SP,1,2,,,Botafogo-SP,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,2,2026-04-01,19:00,Atlético-GO,Náutico,1,2,1,0,Náutico,41,78|82,11,9,2,4,1.47,0.82,,,,,,,49,51,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,2,2026-04-01,,Londrina,Goiás,2,2,1,1,DRAW,33|59,38|90,8,14,5,3,1.61,1.88,,,,,,,41,59,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,2,2026-04-01,,Sport,Vila Nova,1,1,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,2,2026-04-01,21:00,Ponte Preta,Ceará,1,1,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,2,2026-04-01,21:30,CRB,Avaí,0,1,,,Avaí,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,2,2026-04-01,,Criciúma,Athletic Club,1,1,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,2,2026-04-02,19:00,São Bernardo,Operário-PR,1,2,,,Operário-PR,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,3,2026-04-04,16:00,Fortaleza,Juventude,2,1,,,Fortaleza,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
